"RID","Community","YrBorn","Sex","D_Mean","E_Mean","Inter_Mean","D_Freq","E_Freq","LDR","RLDR","SCR","KSCR","Mo_Travel","Ex_Stranger","Ex_Convo","Smartphone","Vehicle","Diversified"
84,"M",1955,"male",6.90322580645161,6.14814814814815,7.56756756756757,10.1515151515152,9.54545454545455,1,1,1,0,1,1,4,0,0,3
85,"I",1965,"male",6.25925925925926,6.61538461538461,6.91176470588235,9.375,10.9375,1,0,0,0,1,1,4,1,0,0
86,"M",1990,"fem",6.53333333333333,4.72727272727273,6.33333333333333,11.7424242424242,8.71212121212121,1,1,1,0,0,1,3,1,1,3
87,"I",1975,"male",6.36363636363636,5.65217391304348,6.21428571428571,9.23423423423423,11.4864864864865,2,2,0,0,5,3,1,1,0,2
88,"M",1960,"male",6.96551724137931,6.61538461538461,6.8,10.6209150326797,10.2941176470588,0,0,1,0,2,1,4,0,0,1
89,"M",1990,"male",5.58333333333333,4.41666666666667,9,9.84848484848485,9.09090909090909,3,0,1,1,3,1,3,1,1,1
90,"M",1980,"male",6.3,5.2,6.38461538461539,9.84848484848485,10.8585858585859,0,0,1,1,0,3,3,1,1,1
91,"I",1985,"male",6.47058823529412,4.72727272727273,6.63157894736842,11.8055555555556,7.98611111111111,1,1,1,1,0,1,4,0,1,2
92,"M",1960,"fem",6.42857142857143,6.61538461538461,6.94117647058824,9.69387755102041,10.7142857142857,0,0,1,0,0,3,1,1,0,3
93,"I",1985,"fem",5.83333333333333,4.68421052631579,6.19047619047619,9.5679012345679,12.3456790123457,3,0,0,0,2,2,3,1,0,2
94,"M",1980,"fem",6.15,5.11764705882353,7.25,9.89583333333333,9.11458333333333,4,1,1,1,3,3,4,0,0,1
96,"M",1960,"male",6.58064516129032,5.66666666666667,5.94736842105263,11.5,11.8333333333333,3,1,1,0,1,1,4,1,1,1
98,"I",1985,"fem",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,2,2,1,0,0,3,3,1,0,2
99,"M",1975,"male",6.28571428571429,5.19047619047619,6.42307692307692,9.80392156862745,10.7843137254902,0,0,1,0,0,1,4,0,0,2
100,"I",1980,"fem",5.42307692307692,5.5,5.15384615384615,12.1212121212121,14.3939393939394,2,0,1,1,1,2,4,1,1,4
101,"M",1985,"fem",7.125,4.61538461538461,6.81818181818182,9.5679012345679,6.79012345679012,2,2,1,1,3,3,3,1,0,2
102,"I",1990,"fem",6.53333333333333,4.72727272727273,6.33333333333333,11.7424242424242,8.71212121212121,1,0,1,0,4,2,4,1,0,2
103,"I",1970,"fem",6.31818181818182,6.16666666666667,6.24137931034483,8.97435897435897,12.6068376068376,1,1,1,0,1,3,1,1,1,1
104,"M",1985,"fem",6.61111111111111,4.92307692307692,6.14285714285714,11.5384615384615,8.65384615384615,0,0,0,0,2,3,2,0,0,2
105,"I",1970,"male",6.4,6.24,6.75862068965517,7.70833333333333,13.3333333333333,3,0,1,0,2,3,3,1,0,1
106,"I",1965,"male",6.2962962962963,6.04545454545455,7.5,10.0378787878788,9.28030303030303,0,0,1,0,5,1,4,1,0,1
107,"I",1955,"male",6.9,6.77777777777778,7.16666666666667,10.1851851851852,10.9567901234568,1,1,1,0,1,1,4,1,0,2
109,"M",1980,"fem",6.2,4.94117647058824,7.1304347826087,10.2150537634409,8.60215053763441,0,0,1,0,1,3,1,1,0,1
110,"I",1965,"male",6.25925925925926,6.61538461538461,6.91176470588235,9.375,10.9375,3,3,0,0,4,1,4,1,1,3
111,"I",1940,"male",7.08571428571429,6.55555555555556,8.11904761904762,10.313315926893,8.61618798955614,4,4,1,0,1,1,4,0,0,1
113,"M",1990,"fem",6.53333333333333,4.72727272727273,6.33333333333333,11.7424242424242,8.71212121212121,1,1,0,0,0,3,1,1,0,2
115,"M",1975,"fem",6.30434782608696,5.81481481481481,4.72,11.6666666666667,16.1904761904762,0,0,1,0,1,1,1,1,1,2
116,"M",1965,"fem",6.25,6.76,6.53125,8.90151515151515,11.5530303030303,1,1,0,0,1,3,4,1,0,1
117,"M",1990,"fem",6.28571428571429,4.6,6.23529411764706,12.0833333333333,8.75,0,0,1,0,1,3,1,0,0,1
118,"I",1980,"fem",6.26666666666667,4.90909090909091,10.5263157894737,10.632183908046,6.03448275862069,1,1,1,0,1,3,3,0,0,3
119,"M",1970,"fem",6.31818181818182,6.76,6.13333333333333,8.53658536585366,12.3983739837398,3,0,1,0,0,2,4,1,0,2
120,"I",1985,"fem",6.82352941176471,4.66666666666667,6.4,11.6666666666667,8.66666666666667,2,2,1,0,1,1,3,1,0,2
